feature,source,family,description,aggregation,count_like,leakage_assessment
credit_card__utilization_mean,credit_card,utilization,mean balance / limit (limit > 0),mean,False,"safe: monthly snapshots with MONTHS_BALANCE in [-96, -1] relative to the current application"
credit_card__utilization_max,credit_card,utilization,max balance / limit,max,False,"safe: monthly snapshots with MONTHS_BALANCE in [-96, -1] relative to the current application"
credit_card__high_utilization_rate,credit_card,utilization,share of months with utilization > 0.8,share,False,"safe: monthly snapshots with MONTHS_BALANCE in [-96, -1] relative to the current application"
credit_card__over_limit_rate,credit_card,utilization,share of months with utilization > 1,share,False,"safe: monthly snapshots with MONTHS_BALANCE in [-96, -1] relative to the current application"
credit_card__utilization_latest_mean,credit_card,utilization,"utilization in the latest month of each card, averaged",last,False,"safe: monthly snapshots with MONTHS_BALANCE in [-96, -1] relative to the current application"
credit_card__dpd_mean,credit_card,delinquency,mean SK_DPD,mean,False,"safe: monthly snapshots with MONTHS_BALANCE in [-96, -1] relative to the current application"
credit_card__dpd_max,credit_card,delinquency,max SK_DPD,max,False,"safe: monthly snapshots with MONTHS_BALANCE in [-96, -1] relative to the current application"
credit_card__dpd_positive_rate,credit_card,delinquency,share of months with SK_DPD > 0,share,False,"safe: monthly snapshots with MONTHS_BALANCE in [-96, -1] relative to the current application"
credit_card__severe_dpd_rate,credit_card,delinquency,share of months with SK_DPD > 30,share,False,"safe: monthly snapshots with MONTHS_BALANCE in [-96, -1] relative to the current application"
credit_card__dpd_def_max,credit_card,delinquency,max SK_DPD_DEF (with tolerance),max,False,"safe: monthly snapshots with MONTHS_BALANCE in [-96, -1] relative to the current application"
credit_card__drawings_sum,credit_card,drawings,total AMT_DRAWINGS_CURRENT,sum,True,"safe: monthly snapshots with MONTHS_BALANCE in [-96, -1] relative to the current application"
credit_card__drawings_mean,credit_card,drawings,mean monthly drawings,mean,False,"safe: monthly snapshots with MONTHS_BALANCE in [-96, -1] relative to the current application"
credit_card__atm_drawings_sum,credit_card,drawings,total ATM drawings,sum,True,"safe: monthly snapshots with MONTHS_BALANCE in [-96, -1] relative to the current application"
credit_card__pos_drawings_sum,credit_card,drawings,total POS (goods) drawings,sum,True,"safe: monthly snapshots with MONTHS_BALANCE in [-96, -1] relative to the current application"
credit_card__atm_drawing_month_rate,credit_card,drawings,share of months with an ATM drawing,share,False,"safe: monthly snapshots with MONTHS_BALANCE in [-96, -1] relative to the current application"
credit_card__drawings_count_sum,credit_card,drawings,total number of drawings,sum,True,"safe: monthly snapshots with MONTHS_BALANCE in [-96, -1] relative to the current application"
credit_card__payment_mean,credit_card,payments,mean AMT_PAYMENT_TOTAL_CURRENT,mean,False,"safe: monthly snapshots with MONTHS_BALANCE in [-96, -1] relative to the current application"
credit_card__min_payment_mean,credit_card,payments,mean AMT_INST_MIN_REGULARITY,mean,False,"safe: monthly snapshots with MONTHS_BALANCE in [-96, -1] relative to the current application"
credit_card__payment_to_min_ratio_mean,credit_card,payments,"mean payment / minimum due (min > 0, clipped to 5)",mean,False,"safe: monthly snapshots with MONTHS_BALANCE in [-96, -1] relative to the current application"
credit_card__missed_min_payment_rate,credit_card,payments,share of months paying less than the minimum due,share,False,"safe: monthly snapshots with MONTHS_BALANCE in [-96, -1] relative to the current application"
credit_card__active_month_share,credit_card,status,share of months with status Active,share,False,"safe: monthly snapshots with MONTHS_BALANCE in [-96, -1] relative to the current application"
credit_card__completed_cards,credit_card,status,cards with a Completed month,count,True,"safe: monthly snapshots with MONTHS_BALANCE in [-96, -1] relative to the current application"
credit_card__mature_installments_max,credit_card,status,max CNT_INSTALMENT_MATURE_CUM (paid installments),max,False,"safe: monthly snapshots with MONTHS_BALANCE in [-96, -1] relative to the current application"
credit_card__has_history,credit_card,history indicator,"1 if the customer has a row in credit_card, else 0",indicator,True,safe: presence of historical records only
pos__n_months,pos,volume,monthly POS/cash records,count,True,"safe: monthly snapshots with MONTHS_BALANCE in [-96, -1] relative to the current application"
pos__n_contracts,pos,volume,distinct previous POS/cash credits,nunique,True,"safe: monthly snapshots with MONTHS_BALANCE in [-96, -1] relative to the current application"
pos__months_min,pos,recency,oldest month observed,min,False,"safe: monthly snapshots with MONTHS_BALANCE in [-96, -1] relative to the current application"
pos__months_max,pos,recency,most recent month observed,max,False,"safe: monthly snapshots with MONTHS_BALANCE in [-96, -1] relative to the current application"
pos__cnt_instalment_mean,pos,terms,mean term (CNT_INSTALMENT),mean,False,"safe: monthly snapshots with MONTHS_BALANCE in [-96, -1] relative to the current application"
pos__cnt_instalment_max,pos,terms,max term,max,False,"safe: monthly snapshots with MONTHS_BALANCE in [-96, -1] relative to the current application"
pos__instalments_future_mean,pos,terms,mean installments left,mean,False,"safe: monthly snapshots with MONTHS_BALANCE in [-96, -1] relative to the current application"
pos__instalments_future_max,pos,terms,max installments left,max,False,"safe: monthly snapshots with MONTHS_BALANCE in [-96, -1] relative to the current application"
pos__remaining_share_mean,pos,terms,mean installments left / term,mean,False,"safe: monthly snapshots with MONTHS_BALANCE in [-96, -1] relative to the current application"
pos__dpd_mean,pos,delinquency,mean SK_DPD,mean,False,"safe: monthly snapshots with MONTHS_BALANCE in [-96, -1] relative to the current application"
pos__dpd_max,pos,delinquency,max SK_DPD,max,False,"safe: monthly snapshots with MONTHS_BALANCE in [-96, -1] relative to the current application"
pos__dpd_positive_rate,pos,delinquency,share of months with SK_DPD > 0,share,False,"safe: monthly snapshots with MONTHS_BALANCE in [-96, -1] relative to the current application"
pos__severe_dpd_rate,pos,delinquency,share of months with SK_DPD > 30,share,False,"safe: monthly snapshots with MONTHS_BALANCE in [-96, -1] relative to the current application"
pos__dpd_def_max,pos,delinquency,max SK_DPD_DEF,max,False,"safe: monthly snapshots with MONTHS_BALANCE in [-96, -1] relative to the current application"
pos__dpd_def_positive_rate,pos,delinquency,share of months with SK_DPD_DEF > 0,share,False,"safe: monthly snapshots with MONTHS_BALANCE in [-96, -1] relative to the current application"
pos__recent_dpd_rate,pos,delinquency,share of months in the last 12 with SK_DPD > 0,share,False,"safe: monthly snapshots with MONTHS_BALANCE in [-96, -1] relative to the current application"
pos__active_month_share,pos,status,share of months with status Active,share,False,"safe: monthly snapshots with MONTHS_BALANCE in [-96, -1] relative to the current application"
pos__completed_month_share,pos,status,share of months with status Completed,share,False,"safe: monthly snapshots with MONTHS_BALANCE in [-96, -1] relative to the current application"
pos__completed_contracts,pos,status,credits with a Completed month,count,True,"safe: monthly snapshots with MONTHS_BALANCE in [-96, -1] relative to the current application"
pos__has_history,pos,history indicator,"1 if the customer has a row in pos, else 0",indicator,True,safe: presence of historical records only
